owner,variable,gen_tech,gen_vintage,gen_is_intermittent,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
PPA,capital_outlay,OnshoreWind,2045,1,,,,,,,,,,,,,,,,,,,,,,,,,,535262160.4366553,,,,
PPA,fixed_om,AES,1992,0,14677622.956780866,14677622.956780866,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPA,fixed_om,Battery_Bulk,2022,0,,,4283725.454490182,4283725.454490182,4283725.454490182,4283725.454490182,4283725.454490182,4283725.454490182,4283725.454490182,4283725.454490182,4283725.454490182,4283725.454490182,4283725.454490182,4283725.454490182,4283725.454490182,4283725.454490182,4283725.454490182,4283725.454490182,4283725.454490182,4283725.454490182,,,,,,,,,,
PPA,fixed_om,Battery_Bulk,2040,0,,,,,,,,,,,,,,,,,,,,,3493351.599508183,3493351.599508183,3493351.599508183,3493351.599508183,3493351.599508183,3311605.0372063983,3311605.0372063983,3311605.0372063983,3311605.0372063983,3311605.0372063983
PPA,fixed_om,Battery_Bulk,2045,0,,,,,,,,,,,,,,,,,,,,,,,,,,8879989.523354365,8879989.523354365,8879989.523354365,8879989.523354365,8879989.523354365
PPA,fixed_om,CentralTrackingPV,2012,1,121557.131568,121557.131568,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,66027.09221213938,,,,,
PPA,fixed_om,CentralTrackingPV,2016,1,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601,670995.3662553601
PPA,fixed_om,CentralTrackingPV,2019,1,1780852.3410031027,1780852.3410031027,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1747897.8222094884,1505722.1617316063,1505722.1617316063,1505722.1617316063,1505722.1617316063,1505722.1617316063
PPA,fixed_om,CentralTrackingPV,2020,1,184179.431249458,184179.431249458,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988,183992.42205645988
PPA,fixed_om,CentralTrackingPV,2022,1,,,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,11110965.057102473,10818663.095600758,10818663.095600758,10818663.095600758,10818663.095600758,10818663.095600758
PPA,fixed_om,CentralTrackingPV,2045,1,,,,,,,,,,,,,,,,,,,,,,,,,,16424418.81248299,16424418.81248299,16424418.81248299,16424418.81248299,16424418.81248299
PPA,fixed_om,H-Power,1989,0,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224,5952591.53247224
PPA,fixed_om,Kalaeloa_CC1,1989,0,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128
PPA,fixed_om,Kalaeloa_CC2,1991,0,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128,4131479.05450128
PPA,fixed_om,Kalaeloa_CC3,1991,0,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759,1285349.0391781759
PPA,fixed_om,OffshoreWind,2030,1,,,,,,,,,,,3218999.0510405,3218999.0510405,3218999.0510405,3218999.0510405,3218999.0510405,2855920.626201064,2855920.626201064,2855920.626201064,2855920.626201064,2855920.626201064,2789683.374179069,2789683.374179069,2789683.374179069,2789683.374179069,2789683.374179069,2789683.374179069,2789683.374179069,2789683.374179069,2789683.374179069,2789683.374179069
PPA,fixed_om,OffshoreWind,2035,1,,,,,,,,,,,,,,,,15866590.025688445,15866590.025688445,15866590.025688445,15866590.025688445,15866590.025688445,15498596.842467815,15498596.842467815,15498596.842467815,15498596.842467815,15498596.842467815,15498596.842467815,15498596.842467815,15498596.842467815,15498596.842467815,15498596.842467815
PPA,fixed_om,OffshoreWind,2040,1,,,,,,,,,,,,,,,,,,,,,3269325.2977836877,3269325.2977836877,3269325.2977836877,3269325.2977836877,3269325.2977836877,3269325.2977836877,3269325.2977836877,3269325.2977836877,3269325.2977836877,3269325.2977836877
PPA,fixed_om,OnshoreWind,2011,1,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,1572340.955616,,,,,
PPA,fixed_om,OnshoreWind,2012,1,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,3616384.1979168,,,,,
PPA,fixed_om,OnshoreWind,2020,1,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,1082334.2023384608,900399.0255880541,900399.0255880541,900399.0255880541,900399.0255880541,900399.0255880541
PPA,fixed_om,OnshoreWind,2045,1,,,,,,,,,,,,,,,,,,,,,,,,,,12978917.589740217,12978917.589740217,12978917.589740217,12978917.589740217,12978917.589740217
PPA,fuel_cost,AES,1992,0,109811746.06596808,109811746.06596808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPA,fuel_cost,Kalaeloa_CC1,1989,0,104923730.00541522,104923730.00541522,86585438.26203057,86585438.26203057,86585438.26203057,101336785.59640612,101336785.59640612,101336785.59640612,101336785.59640612,101336785.59640612,102402483.02582283,102402483.02582283,102402483.02582283,102402483.02582283,102402483.02582283,98157324.14534962,98157324.14534962,98157324.14534962,98157324.14534962,98157324.14534962,113392883.31768472,113392883.31768472,113392883.31768472,113392883.31768472,113392883.31768472,33065888.04019109,33065888.04019109,33065888.04019109,33065888.04019109,33065888.04019109
